author,desc,genre,img,release,score,time,title
Carl Theodor Dreyer,"Au XVIIe siecle, une jeune femme est condamnee au bucher pour avoir aime le fils de son mari pasteur. Denoncee par sa belle-mere, elle avoue etre une sorciere.",Drame,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,3,--",1h 32min,Jour de colère
David Lean,"Irlande. 1916. Rosy Ryan épouse le maître d'école du village, de quinze ans son aîné. Déçue par cette union, elle tombe amoureuse du major anglais venu prendre le commandement de la garnison voisine...","Drame,Historique,Romance","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,0,4,3",3h 15min,La Fille de Ryan
Jonathan Demme,Un jeune avocat atteint du sida doit engager un petit avocat pour attaquer son cabinet pour licenciement abusif.,Drame,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"3,6,4,3",2h 05min,Philadelphia
John Lasseter,"Quand Andy quitte sa chambre, ses jouets se mettent à mener leur propre vie sous la houlette du cowboy Woody. Débarque alors Buzz l'éclair, intrépide aventurier de l'espace venu d'une lointaine galaxie, qui va semer la zizanie dans ce petit monde.","Animation,Comédie,Famille","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,0,4,3",1h 17min,Toy Story
Ziad Doueiri,"A Beyrouth, de nos jours, une insulte qui dégénère conduit Toni (chrétien libanais) et Yasser (réfugié palestinien) devant les tribunaux. De blessures secrètes en révélations, l'affrontement des avocats porte le Liban au bord de l'explosion sociale mais oblige ces deux hommes à se regarder en face.",Drame,https://fr.web.img3.acsta.net/c_310_420/pictures/17/12/20/12/32/0036199.jpg,,"3,8,4,3",1h 49min,L'Insulte
Xavier Giannoli,"Lucien est un jeune poète inconnu dans la France du XIXème siècle. Il a de grandes espérances et veut se forger un destin. Il quitte l’imprimerie familiale de sa province natale pour tenter sa chance à Paris, au bras de sa protectrice.","Drame,Historique",https://fr.web.img4.acsta.net/c_310_420/pictures/21/08/19/11/37/0523511.jpg,,"4,0,4,3",2h 30min,Illusions Perdues
Clint Eastwood,"Michael Johnson et sa soeur Caroline reviennent dans la ferme de leur enfance régler la succession de leur mère, Francesca. Ils vont découvrir tout un pan de la vie de leur mère ignoré de tous, sa brève, intense et inoubliable liaison avec un photographe de passage.","Drame,Romance",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/07/35/19255615.jpg,,"4,6,4,3",2h 15min,Sur la route de Madison
Alan Parker,"Billy Hayes est arrêté à Istanbul pour avoir sur lui quelques grammes de hashisch. Condamné à perpétuité, il est enfermé dans des geôles d'une extrême inhumanité.",Drame,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/62/84/47/19254775.jpg,,"2,0,4,3",2h 00min,Midnight Express
David Lean,"Le destin hors du commun de l'officier britannique T. E. Lawrence, qui mena la révolte arabe contre l'occupant turc au cours de la Première Guerre mondiale. Adapté des Sept Piliers de la sagesse, son récit autobiographique.","Aventure,Biopic",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/00/02/56/04/affiche.jpg,24 avril 2013,"4,4,4,2",3h 36min,Lawrence d'Arabie
Denis Villeneuve,"L'histoire de Paul Atreides, voué à connaître un destin hors du commun qui le dépasse totalement. Car s'il veut préserver l'avenir de sa famille et de son peuple, il devra se rendre sur la planète la plus dangereuse de l'univers.","Drame,Science Fiction","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,0,4,3",2h 36min,Dune
Ettore Scola,"A Rome le 6 mai 1938. Alors que tous les habitants de l'immeuble assistent au défilé du Duce Mussolini et d'Hitler, une mère de famille nombreuse et un homosexuel se rencontrent.",Comédie dramatique,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",17 juin 2009,"5,0,4,3",1h 45min,Une journée particulière
James Cameron,"Dans cette suite, un Terminator reprogrammé est envoyé du futur afin de protéger le jeune John Connor d'un implacable cyborg protéiforme.","Action,Science Fiction","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",13 septembre 2017,"3,8,4,3",2h 17min,Terminator 2 : le Jugement Dernier
